precos;area;garagem;banheiros;lareira;marmore;andares
29600;34;2;2;0;0;1
53450;110;1;1;4;1;1
65675;29;3;4;3;1;1
54050;104;2;5;0;0;1
40050;44;1;4;4;0;0
45350;144;2;2;2;1;1
22575;153;1;5;2;0;0
47825;243;3;4;1;1;0
65100;246;2;4;4;0;1
32900;56;2;3;0;0;1
30950;50;3;1;4;0;0
26325;193;2;4;1;0;0
28400;46;1;2;3;0;0
54350;26;1;4;3;1;1
53325;3;1;1;2;1;1
37950;170;1;2;1;0;1
45225;29;3;1;0;1;0
54725;219;2;5;3;0;1
30250;90;1;4;4;1;0
45775;113;3;4;1;0;1
28075;35;2;4;4;0;0
39750;102;1;2;1;0;1
42975;151;2;3;0;0;1
38875;157;2;1;1;1;0
53800;162;1;1;2;1;1
48650;168;1;1;0;1;0
31675;17;3;1;1;0;1
51700;38;3;5;3;0;1
46325;193;2;1;3;1;0
37725;209;1;1;2;0;0
41675;217;3;5;3;0;0
34700;228;2;4;4;0;0
35400;98;1;5;1;0;0
55050;92;3;4;3;0;1
27400;128;3;2;4;0;0
40600;4;2;5;4;0;1
51650;186;3;1;4;0;1
28025;91;1;2;4;1;0
64075;223;2;3;2;1;1
37200;30;3;4;2;0;0
56700;238;3;3;4;0;1
34875;237;1;4;2;0;0
31600;6;2;5;0;0;0
44400;248;2;4;4;0;0
33975;79;1;3;1;0;0
56650;98;3;1;1;0;1
49600;124;2;4;1;0;1
39325;105;3;4;1;1;0
43425;227;3;4;3;0;0
35000;110;3;1;1;1;0
22375;55;2;5;3;0;0
27550;172;2;1;3;0;0
34975;159;2;4;2;0;0
54325;243;1;4;1;0;1
41275;223;1;4;2;0;1
63150;188;3;4;0;0;1
40825;53;1;5;0;1;0
29500;122;2;4;1;0;0
54775;113;1;1;4;1;1
35725;121;2;3;4;1;0
29125;207;2;4;0;0;0
46125;55;1;2;3;0;1
25850;86;2;2;1;0;0
41350;226;1;2;2;1;0
46600;36;2;2;1;1;1
29150;48;1;5;4;0;0
43550;112;2;2;3;0;1
56575;185;3;4;4;0;1
56075;185;2;3;1;0;1
13350;94;1;1;3;0;0
